198,"SELECT DISTINCT ea.agency_id, c.start_date FROM m.agency a, m.agency ea, m.calendar c WHERE a.agency_id = # AND ea.agency_id_id = a.agency_id_id AND ea.agency_id = c.agency_id AND ((SELECT extract(epoch FROM c.start_date)*#)) <= # AND ((SELECT extract(epoch FROM c.end_date +#)*#)) >= # "
2017-01-18 05:00:00,10
2017-01-18 05:02:00,11
2017-01-18 05:05:00,12
2017-01-18 05:08:00,13
2017-01-18 05:10:00,14
2017-01-18 05:13:00,15
2017-01-18 05:15:00,13
2017-01-18 05:16:00,2
2017-01-18 05:18:00,16
2017-01-18 05:21:00,16
2017-01-18 05:24:00,17
2017-01-18 05:27:00,18
2017-01-18 05:30:00,19
2017-01-18 05:33:00,21
2017-01-18 05:36:00,1
