339,SELECT trip_id FROM m.trip WHERE agency_id = # AND trip_id LIKE &&& AND (block_id =  @@@ OR block_id =  @@@) 
2016-12-11 05:00:00,7
2016-12-11 05:01:00,8
2016-12-11 05:02:00,7
2016-12-11 05:03:00,7
2016-12-11 05:04:00,8
2016-12-11 05:05:00,8
2016-12-11 05:06:00,4
2016-12-11 05:07:00,8
2016-12-11 05:08:00,8
2016-12-11 05:09:00,10
2016-12-11 05:10:00,10
2016-12-11 05:11:00,13
2016-12-11 05:12:00,13
2016-12-11 05:13:00,8
2016-12-11 05:14:00,14
2016-12-11 05:15:00,15
2016-12-11 05:16:00,16
2016-12-11 05:17:00,18
2016-12-11 05:18:00,18
2016-12-11 05:19:00,10
2016-12-11 05:20:00,18
2016-12-11 05:21:00,18
2016-12-11 05:22:00,18
2016-12-11 05:23:00,19
2016-12-11 05:24:00,18
2016-12-11 05:25:00,10
2016-12-11 05:26:00,19
2016-12-11 05:27:00,9
