336,"UPDATE m.stop_time AS st SET departure_time_hour = #, departure_time_minute = #, estimate_source =  @@@ FROM m.stop s WHERE st.agency_id = # AND s.agency_id = st.agency_id AND st.stop_id = s.stop_id AND s.stop_code = &&& AND st.trip_id =  @@@ "
2017-01-07 05:00:00,18
2017-01-07 05:01:00,17
2017-01-07 05:02:00,17
2017-01-07 05:03:00,17
2017-01-07 05:04:00,18
2017-01-07 05:05:00,11
2017-01-07 05:06:00,24
2017-01-07 05:07:00,23
2017-01-07 05:08:00,21
2017-01-07 05:09:00,26
2017-01-07 05:10:00,29
2017-01-07 05:11:00,15
2017-01-07 05:12:00,30
2017-01-07 05:13:00,32
2017-01-07 05:14:00,35
2017-01-07 05:15:00,3
